place_id,visit_date,visit_time_of_day,visit_nth,reservation,wait_time,visit_purpose,companion_type,auth_method,review_text,selected_keyword,additional_keyword_count,reaction_count
1baf3b21-ff47-5b88-989d-ab78b847fe16,2025-09-09,점심,1,False,바로 입장,일상,지인·동료,결제내역,,커피가 맛있어요,0,0
1baf3b21-ff47-5b88-989d-ab78b847fe16,2024-12-04,점심,1,False,바로 입장,일상,지인·동료,영수증,따뜻하게 차 마시기 좋아요 음료가 맛있어요,,0,0
1baf3b21-ff47-5b88-989d-ab78b847fe16,2025-01-21,저녁,1,,,,,영수증,달달하게 맛있네요미 디저트가 맛있어요,,0,0
1baf3b21-ff47-5b88-989d-ab78b847fe16,2025-01-14,저녁,1,False,바로 입장,친목,지인·동료,영수증,,커피가 맛있어요,1,0
1baf3b21-ff47-5b88-989d-ab78b847fe16,2025-01-05,점심,1,,,,,영수증,굿,커피가 맛있어요,0,0
1baf3b21-ff47-5b88-989d-ab78b847fe16,2024-08-19,저녁,1,False,바로 입장,,,영수증,^^ 음료가 맛있어요,,0,0
1baf3b21-ff47-5b88-989d-ab78b847fe16,2023-03-16,점심,1,,,,,영수증,편안하게 대화나눌수있어서 좋네요. 물론 사장님도 매우 친절하시네요.,특별한 메뉴가 있어요,1,0
1baf3b21-ff47-5b88-989d-ab78b847fe16,2023-05-15,점심,1,,,,,영수증,커피맛있어요,커피가 맛있어요,0,0
1baf3b21-ff47-5b88-989d-ab78b847fe16,2023-02-10,점심,1,,,,,영수증,조용해서 상대방과 대화하기 좋았어요 대화하기 좋아요,,0,0
1baf3b21-ff47-5b88-989d-ab78b847fe16,2022-08-31,아침,1,,,,,영수증,편안한 장소 정감있는장소~!! 가성비가 좋아요,,0,0
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,2025-12-03,점심,1,False,바로 입장,일상,혼자,영수증,대학로 마로니에공원 클래식 분위기 갤러리 카페 모짜르트~ 연극시간이 남아 커피 한잔 하며 편안한 시간 보내고 갑니다^^,커피가 맛있어요,4,0
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,2026-01-24,점심,1,False,바로 입장,친목,친구,결제내역,조용하고 좋으네요 가성비가 좋아요+2,,0,0
